"wine_pairing_id";"wine_id";"food_id"
1;18;2
2;3;2
3;19;2
4;13;4
5;14;9
6;14;10
7;16;1
8;17;1
9;23;1
10;25;1
11;38;1
12;76;1
13;77;1
14;4;2
15;5;2
16;20;2
17;22;2
18;23;2
19;38;2
20;70;2
21;77;2
22;3;3
23;10;3
24;11;3
25;13;3
26;16;3
27;17;3
28;23;3
29;35;3
30;38;3
31;49;3
32;51;3
33;55;3
34;62;3
35;66;3
36;1;4
37;2;4
38;5;4
39;11;4
40;12;4
41;25;4
42;29;4
43;31;4
44;34;4
45;41;4
46;43;4
48;60;4
49;65;4
50;50;4
51;66;4
52;71;4
53;74;4
54;77;4
55;79;4
56;7;5
57;8;5
58;9;5
59;15;5
60;16;5
61;17;5
62;20;5
63;21;5
64;23;5
65;26;5
66;28;5
67;35;5
68;44;5
69;45;5
70;59;5
71;60;5
72;61;5
73;62;5
74;63;5
75;66;5
76;70;5
77;71;5
78;77;5
79;78;5
80;79;5
81;10;6
82;20;6
83;22;6
84;23;6
85;26;6
86;33;6
87;34;6
88;38;6
89;41;6
90;43;6
91;44;6
92;51;6
93;55;6
94;56;6
95;57;6
96;62;6
97;64;6
98;66;6
99;78;6
100;72;6
102;4;7
103;20;7
104;22;7
105;33;7
106;38;7
107;39;7
108;43;7
109;44;7
110;49;7
111;55;7
112;64;7
113;69;7
114;80;7
115;59;7
116;72;7
117;23;8
118;21;8
119;28;8
120;11;9
121;12;9
122;13;9
123;20;9
124;22;9
125;65;9
126;80;9
127;66;9
128;70;9
129;4;11
130;10;11
131;20;11
132;22;11
133;23;11
134;38;11
135;55;11
136;59;11
137;60;11
138;66;11
139;73;11
140;70;11
141;7;10
142;26;10
143;27;10
144;28;10
145;21;10
146;35;10
147;36;10
148;44;10
149;1;10
150;45;10
151;17;10
152;9;10
153;50;10
154;51;10
155;56;10
156;58;10
157;60;10
158;62;10
159;66;10
160;68;10
161;69;10
162;70;10
163;71;10
164;7;12
165;8;12
166;9;12
167;10;12
168;15;12
169;17;12
170;18;12
171;26;12
172;28;12
173;45;12
174;50;12
175;58;12
176;62;12
177;68;12
178;74;12
179;81;12
180;10;13
181;20;13
182;22;13
183;23;13
184;38;13
185;51;13
186;59;13
187;60;13
188;61;13
189;62;13
190;80;13
191;81;13
192;66;13
193;77;13
194;78;13
195;7;14
196;10;14
197;17;14
198;23;14
199;32;14
200;45;14
201;51;14
202;60;14
203;62;14
204;80;14
205;72;14
206;78;14
207;10;15
208;20;15
209;22;15
210;23;15
211;32;15
212;38;15
213;40;15
214;44;15
215;45;15
216;47;15
217;49;15
218;51;15
219;54;15
220;55;15
221;56;15
222;80;15
223;81;15
224;62;15
225;66;15
226;68;15
227;75;15
228;79;15
229;78;15
230;2;16
231;3;16
232;7;16
233;9;16
234;15;16
235;17;16
236;28;16
237;24;16
238;33;16
239;35;16
240;36;16
241;37;16
242;81;16
243;45;16
244;49;16
245;56;16
246;58;16
247;62;16
248;78;16
249;17;5
250;17;8
251;17;10
252;17;13
253;17;20
254;17;22
255;17;25
256;17;31
257;17;38
258;17;79
259;17;54
260;17;59
261;17;60
262;17;62
263;17;80
264;17;73
265;17;71
266;17;75
267;17;77
268;18;10
269;18;13
270;18;16
271;18;22
272;18;20
273;18;23
274;18;24
275;18;25
276;18;38
277;18;79
278;18;54
279;18;59
280;18;60
281;18;61
282;18;62
283;18;80
284;18;81
285;18;77
286;18;78
287;10;18
288;13;18
289;16;18
290;22;18
291;20;18
292;23;18
293;24;18
294;25;18
295;38;18
296;79;18
297;54;18
298;59;18
299;60;18
300;61;18
301;62;18
302;80;18
303;81;18
304;77;18
305;78;18
306;10;17
307;13;17
308;20;17
309;22;17
310;25;17
311;31;17
312;38;17
313;79;17
314;54;17
315;59;17
316;60;17
317;62;17
318;80;17
319;73;17
320;71;17
321;75;17
322;77;17
